tick	_total	create	finish	memory	needList	run
17365473	4200.8	20.4	0.1	313.1	721.7	3139.6
17365573	3827.8	12	0.1	282.2	675.9	2851.6
17365673	3822.4	9.8	0.1	340.8	723.9	2742.3
17365773	3830.2	21.5	0.1	259.3	690.9	2853.5
17365873	4335.3	20.5	0.1	334.8	715	3259.5
17366273	4018.8	45.5	0.3	295.4	629.9	3040.7
17366373	4069.2	51.1	0.1	334.7	586.7	3090.1
17366473	4140.4	17.8	0.1	275.7	590.6	3250.1
17366573	4013.5	20.6	0.1	311.3	689.1	2984.7
17366673	4089.6	19.9	0.1	346.5	677.5	3038.9
17366973	4063.6	14.1	0.1	383.9	661.2	2997.6
17367073	3967.6	15.7	0.1	292.4	696.7	2956.8
17367272	4421.6	7.8	0.2	406.6	780.7	3217
17367472	4605.4	10.3	0.2	359	773.1	3453.2
17367572	4398.1	16.3	0.1	370	764.6	3238.3
17367672	4050.1	38.4	0.1	309.8	596.7	3097.6
17367772	4286.5	17.9	0.1	480.2	607.4	3172.9
17367872	4281.2	11.7	0.1	411.6	583.4	3267.1
17367972	4153.3	10.3	0.1	465.5	620.2	3050.2
17368072	3802.6	6	0.1	328.8	619.2	2841.5
17368172	4447.3	30.2	0.1	380.8	667	3360.7
17368272	3866.4	17.2	0.1	342.4	596.3	2901.3
17368372	4033.7	8.8	0.2	400.7	627.7	2987.1
17368472	4059.6	18.2	0.1	376.6	712.1	2926.8
17368572	4141.4	7.9	0.1	445.3	629.2	3049.6
17368672	3990.1	9.5	0.1	365	680.4	2924.7
17368772	4412.9	8.7	0.1	431	716.8	3246.9
17368872	4253.3	9.7	0.1	368.9	798.1	3065.8
17368972	4115	11.6	0.1	482.4	730.4	2880.8
17369072	4380.1	16.8	0.3	456.5	689.7	3206.2
17369172	4579.5	21.2	0.1	466.5	614.8	3467.4
17369272	4205.6	15.1	0.1	342.5	701.4	3137
17369372	3814.4	35.6	0.2	387.1	697.2	2684.7
17369472	4086.6	22.4	0.1	312.4	685.9	3041.5
17369572	4042.4	21.9	0.1	341.4	675.4	2992.4
17369773	4157	18.5	0.1	376.6	701.6	3051.2
17369973	4110.5	4.4	0.1	432.5	712.8	2950.7
17370073	3965.1	9.3	0.1	336.4	743.1	2866.7
17370173	3827.8	15.5	0.2	311.5	677.8	2813.5
17370273	3981.8	12.5	0.1	374.9	574.1	3010.9
17370373	4289	13.2	0.1	406.6	696.4	3162.8
17370473	3772.8	12	0.1	289	581.8	2881.2
17370573	4034.1	21.3	0.1	414	622.4	2967.5
17370673	4062.8	11.6	0.1	442.4	594.2	3005.8
17370773	4114.5	51.9	0.2	343.2	603.2	3106.8
17370873	4204.9	16.3	0.2	473.8	629.6	3063.1
17370973	4264.3	19.7	0.1	548.5	595.8	3090.5
17371073	4328.4	17.9	0.2	484.9	657.4	3158.8
17371173	3956.7	19.9	0.1	382.7	672.2	2872.5
17371273	4064.5	6.6	0.1	414.3	692.3	2942.3
17371373	4198.3	3.7	0.1	411.4	757.9	3015.4
17371473	4144.9	7.9	0.1	522.6	681.8	2923.3
17371573	3823.8	11.8	0.1	434.2	712.5	2656.3
17371673	4417	27.3	0.2	495.9	948.2	2935.5
17371773	4060.5	13.8	0.1	471.2	694.3	2871
17371873	4180.4	22.8	0.1	450.9	662.7	3034.5
17371973	4364.3	23.9	0.1	601.3	656.5	3073.2
17372073	3916.2	5.8	0.2	345.1	728.5	2827.3
17372173	4141.9	13.8	0.1	332.1	721.2	3065.6
17372273	4426.4	23.8	0.2	388.9	914	3077.9
17372373	4024.5	12.9	0.1	304.8	599.7	3098.6
17372473	4070.8	10.4	0.1	483.5	660	2907.3
17372573	4034.9	14	0.1	418.2	736.7	2856.6
17372673	3710.3	9.5	0.2	337.7	606.8	2747.5
17372773	3828.3	4.1	0.1	407.2	581.2	2826.4
17372873	3935	8.5	0.1	435.5	562.1	2919.7
17372972	4214.1	5.2	0.1	347.5	605.3	3247.2
17373072	4672.4	15.2	0.2	355.4	725.4	3566.8
17373172	4623	16	0.1	351.3	832	3414.3
17373272	4553.2	22.4	0.1	368.8	678.4	3473.6
17373372	4364.9	17.2	0.1	391.2	680.1	3266.4
17373472	4069.5	27.9	0.2	307.3	723.5	3001.7
17373572	4016.3	13.4	0.1	449.1	565.2	2978.2
17373672	4515.6	22.5	0.1	478	667.2	3336.4
17373772	4049.1	11.8	0.2	428.2	648.4	2951.5
17373872	4364.2	33.8	0.2	482.9	623.6	3214.3
17373972	4181.5	12.9	0.2	377.7	632.1	3149.5
17374072	3974.8	10.2	0.1	358.5	648.3	2945.6
17374172	4287.9	6.9	0.1	446.6	685.4	3139.4
17374272	4510.1	5.2	0.1	514.8	701.9	3279.5
17374372	4183.3	4.2	0.1	369.2	815.8	2984.2
17374473	4140.3	9.1	0.1	429.2	766.8	2925.5
17374573	4254.4	19.9	0.1	308.8	691.2	3194.9
17374673	4374.9	25.3	0.1	441.4	691.7	3207.8
17374773	4054.7	4	0.1	409.3	682.2	2950.1
17374973	4187.8	12.4	0.1	295.2	675.3	3197.6
17375073	3763.3	10.8	0.1	585.5	697.5	2462.5
17375179	3896.8	18.8	0.1	277.5	592.7	2999.7
17375279	4203.2	52.5	0.1	404.6	672.5	3065.9
17375379	4177.8	41.5	0.1	289.7	646	3192.7
17375479	3823	28.4	0.2	405.2	583.3	2797.1
17375579	4501	40	0.2	409.6	617.7	3424.3
17375679	3820.4	9.8	0.1	373.9	606.8	2821
17375779	4063.7	10.8	0.1	299	755.5	2989.6
17375979	4032	42.6	0.1	325.2	596.2	3060.9
17376079	4386.9	31	0.2	377.9	740.5	3228
17376179	4415.5	25.5	0.2	351.7	598	3430.3
17376292	4547.4	11.3	0.2	443.8	700.8	3381.5
17376393	4179.5	22.9	0.1	393.3	655.5	3099
17376699	4215.5	8.6	0.1	373.8	617.9	3206.8
17376899	4378	38.7	0.2	340.5	638.1	3352.9
17376999	4357	7.7	0.1	411.7	724.8	3204.1
17377099	3869.4	16.7	0.1	337.1	541.3	2961.5
17377199	4497.7	18.8	0.1	479	736.7	3253.5
17377299	4584	16.8	0.1	375.9	683.2	3500
17377399	4483.3	5.4	0.1	273.2	745.6	3450.5
17377499	4080.7	24.3	0.1	361.7	767.4	2919.7
17377699	4329.8	5.9	0.1	414.3	665.8	3223.7
17377799	4080.9	10.5	0.1	342.8	829.7	2888.1
17378099	4107.7	8.6	0.2	425.1	752.8	2911.7
17378199	4221.9	9.7	0.2	372.3	658.5	3171.4
17378299	4563.9	6.9	0.1	523.3	715.6	3308.3
17378399	3953.2	22.6	0.1	344.2	616.1	2962.6
17378499	4274.2	22.1	0.1	293.6	692.7	3258.3
17378599	4036.5	20.8	0.1	417.1	677.3	2912.1
17378698	4406.7	38.4	0.1	416.6	691.9	3249.6
17378798	4745.8	17.8	0.1	581.9	757.1	3368.6
17378898	4514.2	26.3	0.2	467.8	717.8	3292.9
17378998	4714.8	13.6	0.1	420.7	685.6	3585.1
17379098	4012.3	20.8	0.1	392.5	648	2941.8
17379198	4125.4	25.8	0.1	394.3	694.5	3000.9
17379298	4569.5	12.2	0.2	372.2	591.3	3584.4
17379398	4072.6	4.7	0.1	378.4	583.9	3096.4
17379498	3897.6	9.9	0.2	385.6	751	2731.6
17379598	4489.7	26	0.1	282.5	797.9	3375.5
17379698	4176.7	15.8	0.1	293	738.7	3120.3
17379798	3909.1	10.1	0.2	390.1	761.5	2740.1
17379898	4233.1	20.5	0.1	396.9	769.4	3037.9
17379998	4085.8	11.5	0.1	325.8	680	3049.2
17380098	3702.9	17.9	0.1	425.6	579.8	2672.4
17380198	4185.2	19.3	0.2	431.7	629.5	3095.7
17380298	4211.9	25.4	0.1	337.4	617.2	3223.8
17380398	3872	43.6	0.1	344.7	602.4	2874
17380498	4340.7	39.9	0.2	466	639.5	3186.3
17380598	4184.4	21.5	0.1	398.5	598.4	3157.8
17380698	4211.3	15.3	0.2	415.1	580.8	3191.7
17380798	4144.5	14.4	0.1	293.6	698.3	3130.1
17380898	4317.9	34.2	0.1	370.2	671.5	3234.7
17380998	4346.4	9.3	0.1	370.7	713.5	3245.2
17381099	4310.2	8.6	0.2	340.2	758.2	3195.4
17381199	3988	7.1	0.1	354.3	696.3	2923.3
17381299	4181.4	8.4	0.1	384.5	682.1	3097.3
17381399	4300.5	15.3	0.1	423.8	746.3	3107.4
17381499	4157.6	32.7	0.2	372	730	3015.4
17381599	4512.1	26.8	0.2	462.5	652.2	3362.9
17381699	4116	20.5	0.2	295.7	628	3163.3
17381799	4315.5	25.9	0.1	428.2	583.7	3267.3
17381899	4265.3	29.3	0.2	405.9	628.7	3177.9
17381999	4269.9	19.9	0.2	350.2	724.2	3166.1
17382099	4211	11.9	0.1	420.9	705.5	3065.2
17382199	4061.8	9.2	0.1	382.5	705.8	2956.2
17382299	3960.8	10	0.2	362.7	666.7	2914.1
17382400	4399.5	22.7	0.2	419.2	880.9	3068.2
17382500	4177.6	7.7	0.1	391.4	751	3018.5
17382600	3830.4	14.4	0.2	355.1	729.3	2723
17382700	4522.5	24.4	0.2	446.2	841.5	3200
17382800	3862.7	14.6	0.1	385.4	658.5	2782.2
17382900	3765	35.9	0.2	324.1	664.5	2732.4
17383001	4590.8	40.4	0.2	363.2	750.5	3428.1
17383101	3902.3	24.7	0.1	402.4	663.7	2803.5
17383201	3940.5	13	0.1	332	651.7	2935.9
17383301	4046.5	25.5	0.1	455.2	736.1	2821.5
17383401	4099.5	45.1	0.2	396.2	683.7	2967
17383501	3989	28.5	0.2	370.3	623.2	2959
17383601	3905.5	9.7	0.1	348.3	666.8	2873.7
17383701	4259.4	21.4	0.1	429.5	708.4	3077.6
17383801	4052.8	8.5	0.1	472	693.1	2870.6
17383901	4050.6	7.1	0.1	395.2	671.9	2966.9
17384001	4098	8.1	0.6	363.1	730.8	2988.1
17384101	3670.9	7.1	0.1	279	672.2	2705.2
17384201	4347.6	13.5	0.1	536.1	654.3	3136.8
17384301	4255.9	25.4	0.1	325.1	670	3226.6
17384400	4405.5	21.2	0.2	393.4	756.7	3223.9
17384500	4260	19.6	0.1	418	711.3	3102.4
17384600	5095.5	24.8	0.2	458	771.1	3831.2
17384700	4555.6	22.8	0.2	458	681.1	3384.6
17384800	3937.3	17.4	0.1	316.3	706.9	2888.3
17384900	4395.1	52.7	0.1	329.6	659.1	3335.2
17385000	4269.9	20.6	0.1	423.6	603	3213.2
17385100	3879.3	4.5	0.1	306.3	573.3	2987.1
17385200	4258.7	7.9	0.1	333.2	760.9	3147.4
17385300	4317.2	17	0.1	400.9	725.4	3164.2
17385400	4047.1	12.2	0.1	456.5	716.8	2853.2
17385500	4209.2	12.6	0.3	322.6	796	3069.4
17385600	4097.8	17.3	0.1	334.4	632.6	3105
17385700	3766.7	9.9	0.1	281.7	641.5	2826.3
17385800	4550.1	12.6	0.1	344.8	773.6	3411.1
17385900	3989.3	13.4	0.1	364	622.6	2979.9
17386000	3842.3	11.2	0.1	316.5	548.6	2957.1
17386100	4185.2	19.7	0.1	386.5	620.1	3149.7
17386200	4324.3	14.4	0.1	289.1	682.9	3328.1
17386300	3850.3	14.9	0.1	313.5	691.6	2821
17386400	3851.2	21.8	0.1	358.3	723	2739.5
17386500	4597.9	28.5	0.1	298.3	667.4	3596.1
17386600	3963.4	12.2	0.2	337	639	2968
17386700	3909	7.9	0.1	282	646.1	2965.9
17386800	4238.8	18.4	0.1	400.4	742	3069.7
17386900	4195	11.2	0.1	370.2	710.3	3094.7
17387000	4424	8.1	0.1	310.6	882.1	3215.2
17387100	4229.4	23.7	0.1	367.5	743	3075.6
17387200	4015.1	23.2	0.1	337.7	707.8	2936.5
17387300	4067.4	22	0.1	361.9	696.9	2977.5
17387400	4067.7	38.7	0.1	316.7	691.1	3012.4
17387500	3914.1	67.5	0.2	333.8	659.8	2829.9
17387600	3857.8	83.2	0.2	394.4	598.3	2771.3
17387701	4027.4	103.4	0.2	337.5	610.6	2966.4
17387801	4163.4	85.7	0.2	401.6	553.5	3113.5
17387901	3611.5	29.3	0.1	340.9	562.5	2670
17388001	3723.7	76.6	0.2	377	583.5	2677
17388101	3937.6	30.2	0.2	441	578.9	2877.9
17388201	3882.1	29.7	0.2	325.6	623.4	2894.1
17388301	4293.4	13	0.3	408	635.8	3226.4
17388401	3920.8	19.4	0.2	358.5	574.7	2959.2
17388501	3958.5	17.8	0.1	312.8	580.4	3037.9
17388601	4261.4	17.3	0.2	334.9	645.9	3254
17388701	4109.7	33.1	0.1	382.3	569.8	3115
17388901	4138.6	10.8	0.1	387.1	611.1	3119.3
17389101	4477.4	7.6	0.1	364.9	604.3	3490
17389201	4156.1	9.9	0.1	304.1	632.7	3199.5
17389301	4095.1	18.7	0.1	303.8	597	3167
17389401	4400.8	21.5	0.1	342.9	564.8	3448.5
17389501	4621	17	0.1	407.9	686.4	3499.7
17389701	4347.4	38.5	0.2	325.1	621.9	3353.1
17390000	4482.5	11.5	0.2	442.5	757.6	3259.9
17390301	4090.1	7.3	0.1	423.7	576.1	3073
17390401	4140.6	9.5	0.1	329.9	704.2	3087.5
17390501	4035.9	6	0.1	377.3	710.5	2933.9
17390601	3851	6.3	0.1	333	672.1	2831.4
17390701	3988.2	30.2	0.1	357.7	690.7	2901.1
17390801	4247	17.2	0.1	386.9	695.9	3137.4
17390901	4132.8	27.4	0.1	406.5	743	2947.2
17391001	4126.6	12.6	0.1	395.3	650.2	3060
17391101	4063.7	34.2	0.2	408.4	647.6	2964
17391201	3996.4	9.1	0.1	341.8	628.1	3008.5
17391301	3824.9	15.4	0.1	323.9	683.8	2792.6
17391401	3793	36.6	0.2	401.1	734.5	2611.4
17391501	3301.4	19.2	0.1	331.9	569.6	2366.5
17391601	2989.3	39.8	0.2	326.2	535.6	2079.7
17391701	3213.1	22.2	0.1	405.7	580.4	2196.3
17391801	3508	21.1	0.1	395.1	623.6	2458.9
17392001	2977.6	81.4	0.1	307.4	583	1997.3
17392101	3116.9	50.9	0.1	321.1	541.4	2195.1
17392201	3199.2	29.9	0.1	374.7	526.8	2259.1
17392301	3287.3	50.3	0.1	427.9	653	2146.7
17392401	3039.7	53.3	0.1	277.7	578.9	2122.3
17392501	3590.3	77.1	0.1	292	604.4	2609.4
17392601	3149.8	28.8	0.1	352.5	565	2195.9
17392701	3727.6	7.1	0.1	466.8	681.6	2562.1
17392801	3584.9	11.9	0.1	449.3	621.7	2478.1
17392901	3755.2	51.4	0.2	519.3	628.1	2542.3
17393101	4414.9	41	0.2	756.2	610.6	2984.3
17393201	3973.8	39	0.1	742.6	563.2	2617.9
17393309	4219.9	52.7	0.2	876.4	622.9	2694.8
17393509	4156.8	33.4	0.1	686	689.5	2738.3
17393609	3954.3	26.9	0.1	628.6	548.7	2741.4
17393709	4090.8	45.3	0.2	787.3	672.1	2575
17393809	4823.8	43.4	0.2	790.8	675.7	3302.6
